valorsubv,media_ax,media_ay,media_az,max_ax,max_ay,max_az,min_ax,min_ay,min_az,q1_ax,q1_ay,q1_az,q2_ax,q2_ay,q2_az,q3_ax,q3_ay,q3_az,var_ax,var_ay,var_az,std_ax,std_ay,std_az,nivel_riesgo
1,0.068,0.00752,4.95494,0.623,0.094,10.249,0,0,0,0,0,0,0,0,7.9505,0,0,9.84625,0.03028796,0.00063593,22.9595783,0.174034364,0.025217645,4.791615416,0
2,0.5574,0.06172,10.07039,0.623,0.094,10.252,0.382,0.004,9.915,0.551,0.022,9.965,0.569,0.094,10.058,0.573,0.094,10.155,0.00182804,0.001187842,0.009286778,0.042755584,0.034465078,0.09636793,0
3,0.57327,0.13945,10.04166,0.754,0.38,10.153,0.359,0.022,10.01,0.394,0.093,10.01,0.609,0.094,10.056,0.669,0.214,10.058,0.016319577,0.007185908,0.000766944,0.1277481,0.084769732,0.027693761,0
4,0.61581,0.35689,10.1326,0.754,0.385,10.345,0.563,0.287,9.951,0.575,0.289,10.01,0.597,0.382,10.149,0.647,0.383,10.153,0.002942914,0.001747018,0.01498514,0.05424863,0.041797343,0.122413806,0
5,0.47406,0.37546,10.15719,0.573,0.388,10.514,0.383,0.287,9.974,0.431,0.382,10.01,0.479,0.383,10.105,0.489,0.383,10.346,0.002465136,0.000685388,0.031283714,0.04965014,0.026179924,0.176872027,0
6,0.46707,0.38908,10.04729,0.76,0.406,10.249,0.335,0.38,9.96,0.382,0.383,9.9615,0.479,0.385,9.962,0.527,0.394,10.105,0.009858025,6.51336E-05,0.012942946,0.099287588,0.008070539,0.113767069,0
7,0.4826,0.29342,9.90689,0.579,0.385,10.155,0.311,0.19,9.724,0.382,0.196,9.772,0.551,0.287,9.8905,0.576,0.377,9.986,0.00933086,0.006102444,0.014649738,0.096596377,0.078118139,0.121036102,0
8,0.37129,0.1454,10.02193,0.573,0.287,10.155,0.281,0,9.915,0.335,0.022,9.974,0.383,0.186,9.986,0.388,0.19075,10.061,0.002464366,0.00974896,0.003945705,0.04964238,0.098736822,0.062814848,0
9,0.4684,0.06086,10.10886,0.669,0.19,10.251,0.19,-0.012,9.951,0.38,0,9.968,0.454,0.046,10.153,0.573,0.144,10.156,0.0116053,0.00444318,0.00986384,0.107727898,0.066657186,0.099316869,0
10,0.51581,0.16281,9.99877,0.765,0.382,10.155,0.359,0.042,9.579,0.382,0.094,9.965,0.476,0.096,10.01,0.669,0.202,10.153,0.022341714,0.011470314,0.026112077,0.149471448,0.107099551,0.161592318,0
11,0.404,0.33051,10.03264,0.575,0.383,10.153,0.377,0.202,9.748,0.38,0.323,9.939,0.382,0.335,9.986,0.383,0.371,10.149,0.00352404,0.00268529,0.01007111,0.059363625,0.051819783,0.100354922,0
12,0.59147,0.32468,10.16252,0.763,0.406,10.346,0.385,0.19,9.986,0.573,0.192,10.152,0.575,0.382,10.152,0.671,0.406,10.16775,0.012897389,0.008552178,0.00657019,0.113566672,0.092477984,0.081056706,0
13,0.45509,0.33002,9.98092,0.623,0.573,10.153,0.383,0.19,9.773,0.3925,0.2005,9.866,0.431,0.38,9.962,0.479,0.394,10.149,0.004825902,0.01532906,0.018482214,0.069468712,0.12381058,0.135949305,0
14,0.33513,0.17532,9.8728,0.579,0.237,10.149,0.022,0.046,9.603,0.168,0.19,9.772,0.383,0.19,9.939,0.49625,0.1905,9.963,0.033490693,0.002074198,0.0204269,0.183004626,0.04554336,0.142922706,0
15,0.36855,0.0484,10.0496,0.573,0.19,10.346,0.022,-0.046,9.915,0.286,0,9.957,0.381,0.046,10.01,0.5495,0.072,10.107,0.031401228,0.0033917,0.0134762,0.177203915,0.058238304,0.116087036,0
16,0.5394,0.25112,10.03045,0.909,0.382,10.299,0.383,0.094,9.626,0.43,0.186,9.9725,0.483,0.2575,9.986,0.6695,0.284,10.058,0.02593,0.005247006,0.027080228,0.161027948,0.072436217,0.164560711,0
17,0.55134,0.59452,9.9745,0.579,0.765,10.201,0.394,0.19,9.772,0.569,0.385,9.951,0.573,0.672,9.96,0.575,0.765,9.96,0.002624064,0.03719955,0.00448181,0.051225622,0.192871848,0.066946322,0
18,0.53595,0.52786,10.14208,0.76,0.672,10.346,0.382,0.383,9.963,0.382,0.394,10.149,0.575,0.575,10.149,0.585,0.576,10.156,0.014337208,0.00948478,0.005321534,0.119738079,0.097389837,0.072948842,0
19,0.50136,0.3842,9.94095,0.671,0.43,10.059,0.371,0.359,9.676,0.388,0.382,9.962,0.431,0.382,9.963,0.597,0.38425,9.974,0.01267751,0.00005604,0.008221167,0.112594451,0.007485987,0.090670654,0
20,0.40106,0.31993,10.08051,0.763,0.43,10.297,0.263,0.19,9.867,0.382,0.238,9.962,0.383,0.359,10.153,0.43,0.406,10.156,0.008754056,0.008564285,0.01293381,0.093563115,0.092543423,0.113726909,0
